comment_user,comment,comment_date,likes_number,replies_number
she███cge███,❤️❤️❤️,2024-11-21T14:34:11.000Z,4,1
joa███.y.███g,Im sorry but this is actually the cutest thing ever @madelineomalley_ !!😫♥️🎀,2024-11-21T18:09:47.000Z,0,1
kat███yer███,Love our CDCs!! @heyitsbrooke2,2024-10-11T21:28:21.000Z,0,1
eva███lis███odr██████,Super Music 👏🏾👏🏾👏🏾,2023-10-02T12:55:43.000Z,2,1
sop███yvo███hal███,@marianapirela!,2024-10-13T21:11:32.000Z,1,1
sal███erl███,😍😍😍😍,2023-10-02T19:08:17.000Z,1,1
smo███a,I love it! Mira @joy_monroy,2024-11-12T01:47:47.000Z,1,1
oli███.lo███,hello @clsidoti,2024-10-21T21:35:17.000Z,1,1
may███lon███,@madelineeez if you’re still in Denver you should go!!,2024-09-28T23:39:27.000Z,0,1
kri███ine███tom█████████,Fantastic 😍😍,2023-10-18T19:12:01.000Z,1,1
nis███nsh███ir7███,"Wonderful job as usual, my love Rana",2024-03-26T21:10:35.000Z,1,1
opek1,🔥🔥🔥,2024-05-15T20:35:38.000Z,1,1
spa███o,@__Siner__,2024-05-15T13:36:09.000Z,1,1
maj███_ba███,😍😍😍 Love this pic Naddz!!!😍😘,2019-08-01T22:44:37.000Z,1,1
raa███lnb███i,"Abu Kinan, creative",2024-05-03T16:39:01.000Z,1,1
ora███.as███,🔥🔥🔥,2024-05-02T16:37:42.000Z,1,1
nad███mro███,"May God give him health, O Lord 🤲 💞",2023-11-25T15:39:57.000Z,1,1
ibr███m.a███er,I love you all,2019-06-24T00:46:28.000Z,2,1
adl███y,Thank you so much to you a tree that you share so perfect photographs think in the direction of an exhibition,2023-12-03T08:50:13.000Z,1,2
adl███y,Amazing Photo Amazed Context,2023-12-03T08:27:29.000Z,1,1
ran███__o███a_,❤️,2023-09-12T11:30:23.000Z,1,1
sho███ogy███rti██████,Dope shot👏🏾👌🏾,2024-07-16T04:17:05.000Z,1,1
fab███_,🌊🌊🌊🌊,2024-07-15T02:50:06.000Z,1,1
mir███oel███all███,How beautiful that image 🙌,2024-08-02T15:09:56.000Z,1,1
ema███ank███,Great work !👏,2024-06-19T15:20:21.000Z,1,1
mee███_al███ot,Congratulations,2024-06-19T13:21:15.000Z,1,1
gas███.ga███,Aminos ❤❤,2024-07-23T13:36:37.000Z,1,1
eli███eth███ls1███,❤️,2022-11-03T00:00:15.000Z,1,1
mac███mar███uni█████████es,One day I will go! ❤️,2024-05-03T13:40:19.000Z,1,1
mis███n_h███ati███,Gorgeous shots! I haven’t tried this one yet ❤️,2022-12-09T12:38:09.000Z,1,1
rol███r,🙌,2022-06-28T22:19:07.000Z,1,1
_st███enm███,@renzobaraquio is really cute in the first pic !! 😍🥰,2024-06-04T14:13:04.000Z,0,1
zaa███a,What is the sweetest of her sister 😍😍,2024-01-23T00:14:35.000Z,1,1
jou███arb███eh,Crazy,2024-01-22T18:03:26.000Z,1,1
ele███ozo███k,"That’s superb, how are the visitor numbers there?👏",2023-05-01T13:47:53.000Z,1,1
nar███ags███,Ma handsome boyy😍😍🧿,2023-02-28T16:30:54.000Z,3,1
sh.███180███,Brotherhood ❤️❤️🙌,2023-02-28T16:15:56.000Z,3,1
gha███r33███,Hi,2023-08-19T18:03:17.000Z,1,1
bas███hs_███,😍😍😍,2024-04-20T12:58:30.000Z,1,1
gab███he_███de,My favorite place in the middle east - Red Rock City ❤️,2023-01-17T17:02:15.000Z,1,1
ran███.km███,"My love, Miss Dina is one of the most wonderful and boiled people, by God ❤️",2024-06-24T20:40:46.000Z,1,1
ali███_ha███n,The end of the journey was sad,2024-06-24T19:03:27.000Z,1,1
ram███ess███lsh██████,How much?,2024-07-13T01:19:22.000Z,2,1
sum███_ab███sha███,What a sweetest,2024-09-09T11:55:04.000Z,1,1
sha███mut███r,What a sweetest picture,2024-09-09T09:55:46.000Z,1,1
flo███cia███a87███,Cute place,2022-08-18T23:42:02.000Z,1,1
zee███atz███,Champion@tal_hanoci_drone,2021-09-05T12:17:27.000Z,1,1
lee███saw███8,"Sweetest Miss
You are restored to health and safety 😍",2024-04-10T23:06:30.000Z,1,1
duu███a14███,Miss Dina 🤍🤍🤍🤍🤍,2024-04-10T21:09:12.000Z,1,1
mkt███wne███,Create !!!! With the heart of the heart 💔💔,2024-01-12T13:52:41.000Z,1,1
iam███gel███,wow 😮🔥🙌,2022-12-01T09:31:07.000Z,1,2
fhi███rio███jo,What is this creativity,2024-02-20T15:59:21.000Z,1,1
lol███ons███nd_██████,You crazy a lot of splendor and highly hand your hands 😍❤️,2024-06-02T20:34:47.000Z,1,1
r.s███eir███,What a special and beautiful moment !! For the few !! Blessing rains about you !! 🙏🏻❣️🙌🏻❣️,2022-09-12T19:42:57.000Z,1,1
mee███am.███,@hannahnasssssss,2020-06-18T16:30:48.000Z,0,1
the███zza███rt,❤️,2023-11-29T01:48:39.000Z,1,1
s.a███lee███,It’s look so good 🤩,2023-11-26T21:15:19.000Z,1,1
lhw███980███,👏👏👏👏,2024-05-07T20:01:07.000Z,1,1
lem███ara███,المقال ده عاري تماما من الصحه الفليك اسيد فيتامين مصنع ونص سيدات العالم عندهم طفرهmthfr  والنوع ده من الطفرات الجينيه بيخلي الجسم غير قادر علي عمليه الميثايليشن اللي بتحول الفوليك اسيد المصنع لماده طبيعيه يستفيد بيها الجسم وبيترام في الدم ويعلي الهوموسيستيين المسوؤل عن التجلط فبيحصل الاجهاض او ولاده طفل عنده مشاكل في جهازه العصبي وانا واخده من اللي عانو من الاجهاض المتكرر بسبب الاصرار علي الفوليك اسيد لنفس اسباب البوست ولما منعته واستخدمت الميثايل فوليت اللي هو فيتامين ب9 ومعاه كوبال اللي هو فيتامين ب12 وطبعا ابر مميعه للدم الحمد لله ربنا اكرمني بطفل سليم معافي ارجوكو تحرو الدقه في اخباركو واسمعو من الحالات,2020-02-20T00:27:56.000Z,2,4
row███678███,The virus is transmitted with things that are inanimate what lives in it and does not transmit through goods,2020-01-29T06:31:31.000Z,1,1
dmt███e,I do not have the answer but I have the same feeling towards my adoptive country too! 😍 Love your feed! This pinkish tone is very pretty!,2019-08-31T03:47:10.000Z,1,1
ami███060███,👏👏👏👏,2023-02-02T11:50:38.000Z,1,1
tra███wit███lad███,So beautiful 😍,2023-02-02T11:47:41.000Z,1,1
sha███ssa███,Jerusalem 💪🏻,2022-06-08T07:25:16.000Z,1,1
fah███gd,Nice profile 🙃,2022-06-07T16:48:46.000Z,2,1
mhm███rbn███r,how much,2024-09-12T08:54:13.000Z,1,1
sas███rie███,How many prices,2024-09-02T05:56:33.000Z,1,1
vii███0,How much is the price ?,2024-08-29T22:21:01.000Z,1,1
erm███_66███,Good morning 😘 😘😘😘😘😘😘❤️❤️❤️,2024-01-28T09:36:11.000Z,1,3
crv███eth███,Beautiful Country! The people of Israel Hi 🙏,2022-11-17T00:57:07.000Z,1,1
roo███suf███,And do you deliver to Bahrain 🇧🇭,2024-02-02T18:10:47.000Z,1,3
om_███ek0███,How prefer you the kit,2024-03-22T21:03:48.000Z,1,1
ppj███thc███,Let's go back,2024-10-30T10:43:33.000Z,1,1
noo███_99███,Inventing,2024-08-28T01:57:59.000Z,1,1
bea███cot███e20███,My love,2024-08-27T15:01:21.000Z,1,1
ikh███_a_███er,So beautiful inside out - safe travel dear 👍,2021-01-14T18:43:31.000Z,2,1
far███lda███art███,🇱🇧🇯🇴,2023-11-18T18:09:11.000Z,1,2
yas███a_d███s,Gaza 😍,2023-11-18T11:14:36.000Z,1,2
mah███des███,"It is beautiful, being a travel to travel, give you wellness ... not to understand the second point?",2019-04-25T16:27:50.000Z,1,1
uni███aga███ay,😍😍😍,2024-06-16T15:54:28.000Z,1,1
abd███ah.███tog█████████,My brother is bored ❤️,2024-08-08T15:49:39.000Z,1,1
fr_███a,"❤️❤️ Feeling fire, our beloved ❤️🔥👏",2024-06-19T21:17:42.000Z,1,1
slh███19_███,"Hi Habiba, her sister's heart 🥺",2024-10-11T18:25:07.000Z,1,1
_al███baq███,Ya habibit albi ❤️,2024-10-11T15:06:53.000Z,1,1
jul███aki███,Ohh here anyway .. love starts to blossom 😍,2024-06-18T12:02:43.000Z,1,1
se_███,Sean is wrong,2019-07-05T20:08:58.000Z,1,1
emi███i_a███d78███,"God willing, enlightening",2024-07-02T15:07:48.000Z,1,1
hal███tob███,Arig ❤️❤️❤️,2024-08-10T14:47:27.000Z,1,1
jam███jam███,Youuu!,2023-11-19T12:38:53.000Z,1,1
dan███osh███,👏👏👏👏,2022-01-22T19:06:39.000Z,1,1
asm███nil███,"May God bless you with goodness, Dr. Ain",2019-03-30T22:11:48.000Z,2,1
lum███war███,problem,2024-08-19T15:14:45.000Z,1,2
mei███gab███,❤️❤️,2024-05-04T15:15:43.000Z,1,2
m.k███a86███,Blessed is your hands,2023-12-08T19:06:23.000Z,1,1
mah███bas███,Enjoy this beautiful feeling 😍,2020-10-04T09:46:02.000Z,1,1
zji███i,This is exactly what I am talking about it سبحان الله,2020-10-04T09:19:39.000Z,1,1
ava███rk2███,gf,2024-07-03T15:21:35.000Z,1,1
joe███nin███,Wowwww. These are super beautiful. I hope the quality is as good as the pictures.,2024-06-05T02:13:26.000Z,2,1
die███800███,🤲🤲🤲🤲,2023-10-22T23:39:52.000Z,1,1
moh███ad.███and███,🔥🔥,2023-10-22T08:20:46.000Z,1,1
sco███r.g███n,God bless you both. May the good lord guide you and keep you!,2024-06-22T20:04:35.000Z,1,1
als███d_f███ma,"Can you ask or allow, do the time period. We must go astray when we try before we call the ambulance (how many minutes) @Phareen00?",2021-04-11T09:24:28.000Z,0,4
ern███obe███lal██████,What such idyllic sites 👏👏👏👏.,2023-01-10T15:38:49.000Z,1,1
stu███bud███,omg i love this!!!!,2021-09-17T14:46:19.000Z,1,1
van███hol███toi███,Still kid all your complaints can be tim if,2023-04-05T11:41:05.000Z,1,1
ran███mar███15,❤️❤️❤️😢,2024-01-30T21:05:40.000Z,1,1
pra███azi███,Arrives soon 2025 🇮🇱 🇮🇱,2024-05-08T18:25:23.000Z,3,1
mar███ash███di,Yessss👏👏👏 that’s what I keep telling my kids,2021-05-26T13:15:32.000Z,1,1
tar███ala███,Only fear and anxiety grows there,2021-05-26T10:03:13.000Z,1,1
sou███une███,"A new book, and now I read Azazel 😍",2022-03-16T07:28:09.000Z,1,1
its███hra███,😍😍😍,2024-08-09T05:51:47.000Z,1,1
ama███wan███,❤️❤️❤️❤️❤️,2024-08-08T22:40:53.000Z,1,1
mar███cyc███g,Beautiful pics 👏,2024-08-22T07:25:03.000Z,1,1
bat███.al███hda███,❤️❤️❤️❤️❤️❤️❤️❤️❤️,2024-06-26T12:18:48.000Z,1,1
kan███ina███dle███,"God willing,",2024-08-16T08:27:17.000Z,1,1
kan███ina███dle███,😍😍😍😍,2024-08-16T08:27:11.000Z,1,1
bri███nic███as_███,Wow that's beautiful 🔥,2021-08-24T21:18:30.000Z,1,1
bro███.al███t,The view at the end of the world 😏,2023-02-26T14:47:44.000Z,1,1
the███opl███ise██████,🔥👏,2024-05-02T01:42:37.000Z,1,1
jav███_ma███_md███,How beautiful! You can see all the crater! 😍,2024-08-26T13:37:28.000Z,1,1
kha███.22███,Manual,2024-02-17T22:37:44.000Z,1,1
xri███nag███,Habibiiiiiiii,2022-11-20T10:36:16.000Z,1,1
fat███.es███e,"The Chinese took the first dose that I noticed the first day of hand pain in the place of the vaccine. And the second day for twenty -four hours, pain in the throat, headache, light soreness in the chest, and the day after that, everything has disappeared, praise be to God",2021-01-26T12:26:44.000Z,2,2
ooo███zin███oo,"Yes, remember why they were punished and judge, lest you forget!! It’s happening again, yet the masses forgot.",2024-08-10T16:21:05.000Z,2116,1
mar███ail███pho██████,"My head swell.. God has blessed you richly Dr.Little,thst you can save lives....thank you for your expertise , hard work and humility.🙌🙌",2024-03-21T03:04:55.000Z,1,1
doh███bus███e,"She is happy with the moon, God willing, the best girl and the best graduate of the university, my heart 🤍🤍",2024-08-16T15:59:53.000Z,1,1
ale███dra███tiz███,Absolutely agree 🔥,2024-07-27T00:15:20.000Z,1,1
cyc███gfa███,Awesome 😍👏🔥,2024-07-31T10:20:57.000Z,1,1
co_███nta███irl███,Always! Go teamwork 🙌,2024-07-29T19:39:36.000Z,1,1
dic███,Great pic,2024-07-28T22:18:22.000Z,1,1
pap███gab███,Keren,2024-07-24T02:34:57.000Z,1,1
zyn███,🤍🤍🤍,2024-06-25T19:41:16.000Z,1,1
sai███bab███,🤍🤍,2024-06-25T18:22:03.000Z,1,1
mar███oss███os4██████,🙌🙌🙌 Congratulations,2022-10-13T13:21:21.000Z,1,1
fel███aev███,👏👏👏👏🙌,2023-11-12T05:03:25.000Z,1,1
3en███ili███,God is the owner and lord of all these beautiful blessings a hug,2023-11-07T09:22:24.000Z,1,1
ana███952███,May the Lord Jesus continue to bless you ❤️🙌🔥,2023-11-06T10:34:36.000Z,1,1
jos███ale███dre███,👏👏👏🙌,2023-11-06T08:31:52.000Z,1,1
aly███mee███,Hm,2024-06-28T18:09:38.000Z,1,1
um_███at1███,Useful information 🔥,2024-10-05T18:03:13.000Z,1,1
net███lle███ev,🔥🔥🔥😍,2022-03-15T21:01:18.000Z,1,1
jan███rna███sss███,❤️,2023-05-08T14:53:45.000Z,1,1
ham███ili███,"Beloved, what a trip ""expleen""! Amman “citadelle” @caravanaperegrinos",2023-05-06T07:59:35.000Z,1,1
sco███ils███ici███,This is epic 👏🔥,2023-11-13T12:09:12.000Z,2,1
rub███bde███31,Artists ❤️ I loved,2023-11-12T17:27:24.000Z,2,1
nou███6,👏👏,2024-06-07T00:13:56.000Z,1,1
lhw███980███,👏👏👏,2024-05-30T20:20:55.000Z,1,1
lhw███980███,👏,2024-05-30T20:20:43.000Z,1,1
ver███ca_███i_v█████████,😍😍😍😍😍😍😍😍,2023-02-05T19:14:37.000Z,1,1
thi███ouz███,What a dream 🤍,2023-02-05T19:06:51.000Z,1,1
ro0███g,Very cool 👏👏,2023-11-08T05:25:07.000Z,1,1
a_w███ia,@hamzeqaderi,2019-10-09T05:47:42.000Z,0,2
lux███n2,Cool🔥,2024-08-13T23:00:40.000Z,1,1
sum███ala███d,@sudzud @coffeeeebabe,2019-04-02T18:28:58.000Z,3,1
bay███qou███,+1000,2021-10-21T11:04:53.000Z,1,1
mai███ur.███,@dr.ak_photography.. The ride today was different.. (Beep beep-road rider 🚴‍♂️🌪️) is joining again 😂,2024-07-17T19:44:31.000Z,2,2
nei███lan███7,That is awesome. Have fun,2022-12-09T02:44:53.000Z,1,1
rog███acu███tur███,🙌🙌🙌🙌🙌,2022-05-28T16:04:16.000Z,1,1
ram███r,💕💕💕,2023-11-22T18:07:22.000Z,1,1
pao███pie███,What colors 🔥load,2024-07-30T14:07:39.000Z,1,1
ros███ign███,Fascinating places full of mystery. At least I warn them so ❤️,2024-07-25T16:13:20.000Z,1,2
tdo███acu███,How much beauty 😊,2024-07-25T12:01:27.000Z,1,1
fol███ory███sig███,Ahlan 😍😍,2024-01-29T06:04:32.000Z,1,1
luk███kro███k,Looking beautiful as always 🌹,2024-01-28T10:19:16.000Z,2,1
cok███rap███,It's so cute 😍😍😍,2021-09-05T05:41:40.000Z,1,2
dew███eek███,😍😍,2021-08-30T10:48:23.000Z,1,1
mik███eak███ove███,Absolutely dope! 💙,2024-07-19T20:33:03.000Z,1,1
fli███ndo███tra██████,Ah I want to go here so much more now! 😍 beautiful capture!,2024-08-06T20:48:11.000Z,1,1
dos███jer███iaj██████,Then they tell me why I like sunsets so much!,2024-07-30T07:34:25.000Z,1,1
gam███ree███,I am a luxury,2024-06-19T13:26:52.000Z,1,1
exp███e__███dan███,Welcome to Jordan 😍🔥❤️,2024-04-21T10:05:13.000Z,1,1
ind███sph███gra██████,beautiful picture,2022-11-05T10:25:38.000Z,1,1
mar███j90███,Black Iris 🇯🇴❤️,2024-06-24T10:13:43.000Z,2,1
din███ama███89,Price please for xl size,2024-06-19T23:31:46.000Z,1,1
gin███_ma███p,This looks really nice❤️,2022-12-09T11:58:20.000Z,1,1
lil███100███,What a pleasant !!,2022-06-28T18:39:45.000Z,2,1
par███saa███342███,Thank you for your information,2024-07-23T22:58:56.000Z,2,1
a.m███aei███i03███,Unique here,2024-07-23T20:13:07.000Z,1,1
ari███gal███y,انی انی الی الی الی ال ال ال الی ال م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م م that that that that that that 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥🔥,2024-07-22T09:46:22.000Z,1,1
sep███gan███,O God,2024-07-21T18:33:28.000Z,1,1
j.r███s.p███os,Dude!!!,2022-11-29T17:49:43.000Z,1,1
fra███in_███e__██████,My uncle putting a hand as it should be that glory is for God,2022-09-09T21:01:34.000Z,1,1
kis███bsa███,Great habibty. Miss you a lot,2023-08-21T05:15:10.000Z,1,2
waj███aum███an,@kittaba see you there 😍😍😍😍,2023-08-20T08:17:32.000Z,1,1
ali███_ha███n,❤️❤️,2024-06-24T19:02:11.000Z,1,1
mix███and███e_j███,God willing 🔥🔥,2024-10-07T12:37:52.000Z,1,1
zor███ske███es,awesome,2024-06-28T19:30:08.000Z,1,1
moi███flo███888███,"Yo go girls!! Girl power!!! Tell me what you want? What you really, really want",2024-09-04T16:31:12.000Z,2,1
waa███amr███,❤️❤️❤️❤️❤️❤️❤️❤️,2024-09-10T08:38:41.000Z,1,1
pet███rab███hni███,Wonderful portrait 👏👏👏,2024-09-09T19:55:32.000Z,1,1
smi███orm███g,❤️,2024-06-17T18:21:42.000Z,1,1
leo███210███,It look nice 👍,2024-09-24T00:03:05.000Z,1,1
pee███boo███,😍🔥❤️,2024-09-23T23:56:25.000Z,1,1
wan███iba███,Cool,2024-09-23T23:50:07.000Z,1,1
lux███n2,❤️❤️,2024-09-23T22:16:32.000Z,1,1
ali███_ha███n,"The feast is your face and the Vizin, my eyes, we are back with your laughter Ghanem",2024-04-11T00:02:24.000Z,1,1
rub███asi███,"Wonderful glory, God willing, for you",2024-01-12T15:28:34.000Z,1,1
int███idt███elg███,Incredibly well written. ❤️ 🇵🇸,2023-11-14T21:08:54.000Z,1,1
mic███cel███n,🙌🏿🙌🏽🙌🏼,2023-05-27T18:27:16.000Z,1,1
abe███min███mou███,Inventing,2024-02-21T13:01:21.000Z,1,1
alb███ras███,Sirens School ☺️😊😉,2023-05-18T14:44:21.000Z,2,1
mos███ala███sh,Where is the site? At the Hashemite University,2024-01-05T19:13:17.000Z,1,1
ugl███yna███,😂😂haha may be not...bcz no one is interested in our broken life 😂🗿,2023-01-19T18:09:13.000Z,3,4
yah███sha███,Looks so good 😍😍😍,2023-11-26T21:06:29.000Z,1,1
ban███lha███m,Yi Allah lived my love,2020-08-23T17:40:13.000Z,1,1
nou███6,🔥🔥🔥🔥,2024-05-05T19:40:26.000Z,1,1
iza███iqu███,"Many blessings P VC, Rafa ❤️",2023-09-25T02:29:20.000Z,1,1
ren███_ti███li,Q blessing ..,2023-09-24T02:32:26.000Z,1,1
ons███,Amazing shot,2020-06-12T23:51:06.000Z,1,1
koe███m_e███,Stunning,2024-02-08T04:58:25.000Z,1,1
nam███_kh███el,Creative,2022-06-08T09:00:21.000Z,1,1
