comment_text,commenter_user_name,comment_id,date_created,num_likes,num_replies,comment
ไมโลรสชาติเข้มข้นใกล้เคียงกับช็อกโกแลตมากกว่า ชอบไมโลมากกว่า,ooo███555███,7334020051022218002,"""2024-02-10T17:03:38.000Z""",0,0,"Milo, concentrated, more similar to chocolate I like Milo more"
แคมปัส☹️,sie███yy,7336970420362494722,"""2024-02-18T15:52:38.000Z""",0,0,Campus ☹️
ชอบไมโลมากว่าโอวัลตินมันหวานกินไม่ได้อะ,𝙆���███𝙨���███𝙖.███,7336956894591877896,"""2024-02-18T15:00:01.000Z""",0,0,I like Milo than Ovaltine. It's sweet.
ชอบรสชาติของไมโล แต่ชอบหลอดของโอวัลติน,api███,7333890271996445448,"""2024-02-10T08:40:03.000Z""",0,0,Like the taste of Milo But like the tube of Ovaltine
ชอบโอ เพนาะไมหลอดกระดาษ😞😞,😈���███ไรว███,7333952977957356289,"""2024-02-10T12:43:34.000Z""",0,0,"I like Opha, no paper tubes 😞😞"
ไช่ปวดหลังป่ะคับ,ชอบ███ G-███T,7333942948067132168,"""2024-02-10T12:04:27.000Z""",0,0,Back pain?
โมโล.โอวันทีน.ดีมอล.นม=หร่อย(ป.ล)เพื่อนมันผสมไห้แดก😂,use███y4y███k0,7334155436184453889,"""2024-02-11T01:49:17.000Z""",0,0,Molo. O Day. Demol. Milk = Extremely (P.S.) Friends mixed.
โอวันตินเเละไมโลที่รร.อร่อยกว่า,Nat███on ███nta██████,7341554663172719368,"""2024-03-02T00:21:54.000Z""",0,0,O One Tin and Milo at the school is more delicious.
ทีมไมโล,mab███ˋ🍇███,7336920825851970305,"""2024-02-18T12:40:19.000Z""",0,0,Milo team
I’m down £2k and another bad day today. I did sell £20k of global all cap at £2.14 and started buying them back at a starting price of £2.09 (3k) £2.08 (2.8k) and another 6k today. Will throw another 8k (remainder of the £20k) next week if it keeps on the downward spiral. Hopefully recovery the second half of the month 🙂. It’s all Part of investing and the sale prices have started.,ste███249███,7411667519213372193,"""2024-09-06T22:55:35.000Z""",2,3,I’m down £2k and another bad day today. I did sell £20k of global all cap at £2.14 and started buying them back at a starting price of £2.09 (3k) £2.08 (2.8k) and another 6k today. Will throw another 8k (remainder of the £20k) next week if it keeps on the downward spiral. Hopefully recovery the second half of the month 🙂. It’s all Part of investing and the sale prices have started.
@Karen_Kimberly_fx has my trust because she is reliable,Dylan,7411681365551727365,"""2024-09-06T23:49:14.000Z""",0,0,@Karen_Kimberly_fx has my trust because she is reliable
Today was nasty in the market,Adez,7411610949477581600,"""2024-09-06T19:15:54.000Z""",2,2,Today was nasty in the market
Who cares,mom███_li███e_g██████,7411730572429181729,"""2024-09-07T03:01:59.000Z""",0,1,Who cares
Question. In order to take profits from a stock that’s within the pie do I have to remove the stock from the pie first?,Awe███epe███nal█████████,7419661031670022945,"""2024-09-28T11:54:18.000Z""",1,1,Question. In order to take profits from a stock that’s within the pie do I have to remove the stock from the pie first?
"Keeping 20k in Vanguard at the moment in cash, not as good interest but in a Sipp so don’t want to take it out. Waiting for a market drop, happy with what I have made this year so lowering my risk. £15 a day nice 🤩",ste███249███,7420834648579965728,"""2024-10-01T15:48:35.000Z""",2,2,"Keeping 20k in Vanguard at the moment in cash, not as good interest but in a Sipp so don’t want to take it out. Waiting for a market drop, happy with what I have made this year so lowering my risk. £15 a day nice 🤩"
what happened?,Tom███Per███al █████████,7423487420837004064,"""2024-10-08T19:22:45.000Z""",0,3,what happened?
would I be stupid to put all my remaining money in a 5.10% interest savings ISA for the rest of this year and then begin investing again in 2025?,Mr ███nda███obr██████,7395967067902804768,"""2024-07-26T15:30:08.000Z""",1,1,would I be stupid to put all my remaining money in a 5.10% interest savings ISA for the rest of this year and then begin investing again in 2025?
"US cpi data tomorrow so should be some changes in the market, personally September is not as bad as I thought it would be, usually one of the worst months of the year, but can be a good time to buy.",ste███249███,7413114893475791648,"""2024-09-10T20:32:00.000Z""",2,3,"US cpi data tomorrow so should be some changes in the market, personally September is not as bad as I thought it would be, usually one of the worst months of the year, but can be a good time to buy."
Could you do a video with you opinion on how to deal with future crashes👍,Wayne,7396268859479507744,"""2024-07-27T11:00:59.000Z""",1,0,Could you do a video with you opinion on how to deal with future crashes👍
"It’s not too late to start investing, the inflation is on the high side and so many people are losing their jobs, meet Brie to earn @Brie Kirbyson",Cry███ Gu███❤️,7396061336046093062,"""2024-07-26T21:35:48.000Z""",0,0,"It’s not too late to start investing, the inflation is on the high side and so many people are losing their jobs, meet Brie to earn @Brie Kirbyson"
Contact Rosabella winscoin she will help you and teach you how to make money online@ROSEBELLA WINSCOIN,FFA███ngs███,7417976892534604550,"""2024-09-23T22:59:10.000Z""",0,0,Contact Rosabella winscoin she will help you and teach you how to make money online@ROSEBELLA WINSCOIN
your fake account has more followers than you 😳,Fol███_To███spi███,7417955171646898976,"""2024-09-23T21:34:53.000Z""",0,0,your fake account has more followers than you 😳
"Leave it invested, you’ll make much more money",use███685███315███,7430931008361677600,"""2024-10-28T20:47:38.000Z""",0,0,"Leave it invested, you’ll make much more money"
where did you learn when first getting into investing,mepz,7385629301763244832,"""2024-06-28T18:54:15.000Z""",3,4,where did you learn when first getting into investing
Better to invest it g,deq███iou███rkp███,7421231034589954848,"""2024-10-02T17:26:51.000Z""",3,3,Better to invest it g
Why is it sitting in free cash and not invested in your s&s isa,Jay███rdt███,7421230265783370528,"""2024-10-02T17:23:52.000Z""",4,5,Why is it sitting in free cash and not invested in your s&s isa
The cash isn't FSCS protected,Abdur,7421280697459753761,"""2024-10-02T20:39:33.000Z""",4,8,The cash isn't FSCS protected
5.15 now ..that’s great for now,Jas███o,7431351703716660000,"""2024-10-30T00:00:27.000Z""",1,1,5.15 now ..that’s great for now
loving the excitement at the start 😂,Tom███Per███al █████████,7414498253029360417,"""2024-09-14T14:00:10.000Z""",2,2,loving the excitement at the start 😂
Thank you! My plan is to max the stocks and shares buy just trading this year in that account alone. I do however regret trading in the invest section as well this year as anything over 3k is taxed,use███me1███34,7381084135186121505,"""2024-06-16T12:56:32.000Z""",1,0,Thank you! My plan is to max the stocks and shares buy just trading this year in that account alone. I do however regret trading in the invest section as well this year as anything over 3k is taxed
why do you have a sell limit order for VWRL? are you day trading a global fund 😂,she███ej3███,7432058456603607841,"""2024-10-31T21:42:44.000Z""",0,0,why do you have a sell limit order for VWRL? are you day trading a global fund 😂
@priestset,hot███ani███poy███,7402767682564801286,"""2024-08-13T23:19:32.000Z""",0,0,@priestset
"Off topic. How does 212’s NEW, No FX fee help me?",Gym███Mat███,7444166064335946528,"""2024-12-03T12:46:37.000Z""",1,2,"Off topic. How does 212’s NEW, No FX fee help me?"
Thank you Paul Wheeler 🙏,Tay███,7397890480334619424,"""2024-07-31T19:53:26.000Z""",0,1,Thank you Paul Wheeler 🙏
@PAULWHEELERFX invested in to me as a child,Geo███ Pr███n,7397885748190184225,"""2024-07-31T19:35:04.000Z""",0,0,@PAULWHEELERFX invested in to me as a child
Having a reliable trader like @PAULWHEELERFX gives you the confidence to invest your money in trading.,Luke,7397870451580093189,"""2024-07-31T18:35:47.000Z""",0,0,Having a reliable trader like @PAULWHEELERFX gives you the confidence to invest your money in trading.
With stock market booming currently. is it good time to start or should i wait few months for little correction?,AliG,7436425600917160736,"""2024-11-12T16:09:34.000Z""",4,3,With stock market booming currently. is it good time to start or should i wait few months for little correction?
pls teach me more I want to learn,sunny,7438185638786859808,"""2024-11-17T09:59:20.000Z""",3,3,pls teach me more I want to learn
great,Tra███ bu███,7437660178935317281,"""2024-11-16T00:00:28.000Z""",3,1,great
20,Unk███n,7437517175173186337,"""2024-11-15T14:45:32.000Z""",2,0,20
I was fascinated by your profile,thx███bv9███4,7437453768273117984,"""2024-11-15T10:39:22.000Z""",3,1,I was fascinated by your profile
😁,Cbs███ Ch███sbc███,7437824260364141344,"""2024-11-16T10:37:02.000Z""",0,0,😁
😁,Gbd███f D███duf███,7437673541225317153,"""2024-11-16T00:52:42.000Z""",0,0,😁
🥰🥰🥰,Nan███Tys███,7437632109939933984,"""2024-11-15T22:11:22.000Z""",0,0,🥰🥰🥰
😁,she███ugh███,7437324388904502049,"""2024-11-15T02:17:42.000Z""",0,0,😁
โอวันติน มันหวานแหลมอะ ชอบไมโลมากกว่ากลมกล่อมกว่า,Osc███aba███,7333888981106901767,"""2024-02-10T08:35:02.000Z""",373,17,Owan Tin is sweet. I like Milo more mellow.
อันไหนน้ำตาลเยอะมากกว่ากันครับ,ไนส,7334625252029383429,"""2024-02-12T08:12:21.000Z""",0,1,Which one is more sugar?
ผมว่าโอวัลติน,CV,7337103762567529217,"""2024-02-19T00:30:29.000Z""",0,0,I think Ovaltine
😂😂😂,อาร███แก่███,7333969592883397394,"""2024-02-10T13:47:50.000Z""",0,0,😂😂😂
โรงเรียนผมไม่มีใครชอบโอวันตินเลย,Tae,7333972985952371462,"""2024-02-10T14:01:00.000Z""",0,0,I don't like Owan Tin.
❤️❤️❤️,Pee███a. ███hap██████,7336901735052493570,"""2024-02-18T11:26:06.000Z""",0,0,❤️❤️❤️
มีรถไมโลมาแจกที่รร.ผม ผมกินโอวัลตินโชว์เขา😭😭💀💀,กลอน,7334010103429481218,"""2024-02-10T16:25:10.000Z""",0,0,There was a Malopa distributed at my school. I ate Ovaltine to show him 😭😭💀💀
หัวใจมีอยู่4ห้องให้ไมโลไปเเล้ว5,🍎,7337322396082832161,"""2024-02-19T14:38:43.000Z""",0,0,The heart has 4 rooms for Milo. 5
ชอบไมโล,Int███0v0███,7333853214762664722,"""2024-02-10T06:16:15.000Z""",0,0,Like Milo
ไมโลเสียรสชาติเพราะหลอด,M I⚕️,7353043427372139282,"""2024-04-01T23:24:14.000Z""",8,3,Milo Sathon because of the tube
เคยชอบไมโลมากกว่า จนเปลี่ยนเป็นหลอดกระดาษ เลยเลิกกินแล้วไปกินโอวัลตินแทน และตอนนี้ชอบโอวัลตินมากกว่าแล้ว 😂,ppp███o_y███,7333968211267011336,"""2024-02-10T13:42:31.000Z""",3,0,Used to like Milo more Until turning into paper tubes Therefore stop eating and eat Ovaltine instead And now I like Ovaltine more 😂
ดีมอลทางนี้,🤔,7333972507516699397,"""2024-02-10T13:59:10.000Z""",2,0,D -Mall this way
ในคลิปไม่บอกเหตุที่เจ้าของไมโลที่มีส่วนแบ่งตลาดน้อยกว่า แต่กลับมีรายได้เยอะกว่า เพราะเนสเล่ย์มีสินค้าหลากหลาย ไมโลเป็นแค่ส่วนหนึ่งของรายได้เท่านั่น,boy███lin███,7370131067413644033,"""2024-05-18T00:33:03.000Z""",1,0,"In the clip, do not tell the reason that the Milo owner has less market share. But has more income Because Nesley has a variety of products Milo is just part of that income."
@Gummyผีซ่าส์ ก๊วยทีมไหน,หมว███๊น���███,7334000667390001927,"""2024-02-10T15:48:23.000Z""",0,1,"@Gummy Ghost Ginkgo, which team"
ชอบไมโลมากกว่า,ธัช███,7333973674967597825,"""2024-02-10T14:03:44.000Z""",0,0,I like Milo more
Thx for the advice 😁,Man███et,7411599576241619745,"""2024-09-06T18:31:48.000Z""",2,3,Thx for the advice 😁
Trade with @Erickrobinson.FRX,Dan███,7411718599843595013,"""2024-09-07T02:13:42.000Z""",0,0,Trade with @Erickrobinson.FRX
Why ishares?and not vanguard acc or dist im soon turn 18 and looking into research,🚴,7433942994133697313,"""2024-11-05T23:36:03.000Z""",1,11,Why ishares?and not vanguard acc or dist im soon turn 18 and looking into research
A lad who is clued up 👏🏾,Fin███e W███ T ███,7442785046232515361,"""2024-11-29T19:27:43.000Z""",1,0,A lad who is clued up 👏🏾
what a great personality on believing in her hands and it paid off @Coach Susan,lay███877███,7396592838002344710,"""2024-07-28T09:04:30.000Z""",0,0,what a great personality on believing in her hands and it paid off @Coach Susan
He assisted me with the best trading skills and platform @NAYLOR ANDERSON TRADES,Edw███ M.███lch███,7408718838382363398,"""2024-08-30T00:13:04.000Z""",0,0,He assisted me with the best trading skills and platform @NAYLOR ANDERSON TRADES
Trade with @Karen_Kimberly_fx.,Jac███lin███,7408681797124506373,"""2024-08-29T21:49:17.000Z""",0,0,Trade with @Karen_Kimberly_fx.
How much daily interest you getting and is it safe to put in there interest on cash wise,🐏,7387093450972545825,"""2024-07-02T17:35:50.000Z""",1,0,How much daily interest you getting and is it safe to put in there interest on cash wise
what are you waiting for...?.. what's your strategy...?,Dan███Byr███,7421248288114017056,"""2024-10-02T18:33:41.000Z""",2,3,what are you waiting for...?.. what's your strategy...?
Haram,Imrz,7421955485031580448,"""2024-10-04T16:18:04.000Z""",1,2,Haram
"I'm currently using invest Engine,thanks for the reply :)",Mr ███nda███obr██████,7395673102430962465,"""2024-07-25T20:29:18.000Z""",2,2,"I'm currently using invest Engine,thanks for the reply :)"
Wait you can do day trading in Isa ?,hao███udu███,7432024930566898465,"""2024-10-31T19:32:44.000Z""",0,1,Wait you can do day trading in Isa ?
The interest on a cash ISA makes it's haram in Islam as it is direct riba,Nin███poo███,7432814148478190369,"""2024-11-02T22:35:10.000Z""",0,0,The interest on a cash ISA makes it's haram in Islam as it is direct riba
next ad in 3 scrolls,sj🥊,7437587967612781344,"""2024-11-15T19:20:03.000Z""",4,0,next ad in 3 scrolls
good one 🥰🥰,Gya███,7437799216939057952,"""2024-11-16T08:59:56.000Z""",2,0,good one 🥰🥰
"HELP I-😭 I DECIDED TO WEAR AN EYEPATCH TO ME SHIP AND ME CREW YELLED ""AHOY BLACKBEARD!"" AND I INTRODUCED MESELF. (I have a captain voice) AND THEY ALL GOT SCURVY😭 ARGGG",T,7438136397959480096,"""2024-11-17T06:48:35.000Z""",1,0,"HELP I-😭 I DECIDED TO WEAR AN EYEPATCH TO ME SHIP AND ME CREW YELLED ""AHOY BLACKBEARD!"" AND I INTRODUCED MESELF. (I have a captain voice) AND THEY ALL GOT SCURVY😭 ARGGG"
😏,RAM███E X███,7437627287640752928,"""2024-11-15T21:52:42.000Z""",1,0,😏
"And we know that in all things God works for the good of those who love him, who have been called according to his purpose.🙏✝️turn away from earthly idols and live according the spirit.Time is up",Paul,7437340252702819105,"""2024-11-15T03:20:17.000Z""",1,0,"And we know that in all things God works for the good of those who love him, who have been called according to his purpose.🙏✝️turn away from earthly idols and live according the spirit.Time is up"
ส่วนตัวถ้ากินดิบไมโล ถ้านํ้าโอวัลติน,ปัง███ด์���███,7334016722963776276,"""2024-02-10T16:52:00.000Z""",3,0,"Personally, if eating raw Milo If Ovaltine"
โอวัลตินมันหวานเกินอะ ชอบนะ แค่ไม่ชอบที่มันหวาน,SAN███,7334157437047620360,"""2024-02-11T01:56:50.000Z""",1,0,Ovaltine is too sweet. I like it. I don't like that it is sweet.
ไมโลหลอดมันเป็นกระดาษอ่ะค่ะ เลยไม่ชอบ,ᯓ ᡣ𐭩,7351247133120627474,"""2024-03-28T03:13:31.000Z""",0,0,"Milo has a paper. It's a paper, so I don't like it."
ชอบไมโลมากกว่าโอวัลตินหวานแสบคอ,...,7333942223514141458,"""2024-02-10T12:01:40.000Z""",0,0,I like Milo more than Ovaltine.
ไมโลno1อร่อย👍,กนก███นทอ███,7334031285066826504,"""2024-02-10T17:47:15.000Z""",0,0,Milo No1 is delicious 👍
โอวัลตินครับบ,องค███ไม่███งหา█████████,7333885059609314053,"""2024-02-10T08:20:01.000Z""",0,0,Ovaltine
"คนอื่น:ไมโล
คนอื่น:โอวัลติน
ผม:ไวมอล🥰🥰",た。,7333922223034516232,"""2024-02-10T10:44:02.000Z""",0,0,"Other people: Milo
Others: Ovaltine
Hair: Viol 🥰🥰"
อะไรใหญ่นะคะ?,oon.,7349432802968945409,"""2024-03-23T05:53:14.000Z""",0,0,What is big?
ชอบไมโลโรงเรียน😄,shi,7357692500552942352,"""2024-04-14T12:04:52.000Z""",0,0,Like Milo School 😄
ดีมอลเก็บหมด🗿,หมา███งบ้███็เเ█████████ู💩███,7333943933220946695,"""2024-02-10T12:08:15.000Z""",3,0,Damol is all collected 🗿
ท่าน ร9 ชื่นชอบโอวัลตินมาก,pao███ind███ndt██████,7339793716511884034,"""2024-02-26T06:28:41.000Z""",1,0,Than 9 likes Ovaltine very much.
ทีมไมโล=,👑 ███s F███Int█████████,7334006288185819912,"""2024-02-10T16:10:16.000Z""",0,0,Milo team =
หวานทั้งคู่ เลิกกิน,bun███mpe███ub,7334008646315492114,"""2024-02-10T16:19:22.000Z""",0,0,"Both are sweet, stop eating."
อันนั้นที่ใหญ่หรอครับ🤨,ไซต███,7333910065084629768,"""2024-02-10T09:56:51.000Z""",0,0,Is that big?
ไมโลแซ่บกว่า แต่ถ้าจะแซ่บกว่านี้ขอหลอด3รู,A,7352496193971045126,"""2024-03-31T12:00:36.000Z""",0,0,"Milo is more spicy, but if it is more spicy, please ask for 3 holes."
If it’s not -40% it’s all good😂,L,7413736737929134880,"""2024-09-12T12:45:06.000Z""",1,2,If it’s not -40% it’s all good😂
Is that all?,geo███.th███cco█████████,7411800400117007136,"""2024-09-07T07:31:09.000Z""",1,2,Is that all?
It’s good to know there’s still a reliable trader thanks @PAULWHEELERFX,ste███nie███,7401346820292674310,"""2024-08-10T03:25:51.000Z""",1,0,It’s good to know there’s still a reliable trader thanks @PAULWHEELERFX
£7400 profit on DJT so far 😄😄,zzz███jei███r,7433852372792722209,"""2024-11-05T17:44:03.000Z""",0,3,£7400 profit on DJT so far 😄😄
interest is haraam,Ray,7424202060125766433,"""2024-10-10T17:35:51.000Z""",2,2,interest is haraam
are you guaranteed to have 4.9%,HiH███ero███,7443534402249949984,"""2024-12-01T19:55:18.000Z""",0,0,are you guaranteed to have 4.9%
Thanks,jsc███,7442741904763405089,"""2024-11-29T16:40:17.000Z""",1,0,Thanks
Text @Digital Hacker for help,Mar███ Fi███zas███,7397602871401923333,"""2024-07-31T01:17:29.000Z""",0,0,Text @Digital Hacker for help
Despite the economy downtown. I'm so happy 😀. I have been earning$ 60.190 return from my$ 7000 investment every week with the help of. @THOMAS TRADES LLC,bit███am_███gwo███,7396178158780203781,"""2024-07-27T05:09:24.000Z""",5,0,Despite the economy downtown. I'm so happy 😀. I have been earning$ 60.190 return from my$ 7000 investment every week with the help of. @THOMAS TRADES LLC
sorry to be a nuisance if you might feel this way. I like looking for advice and knowing more even tho of course it's not financial advice. Thank u very much.,Mr ███nda███obr██████,7395998951521370912,"""2024-07-26T17:33:59.000Z""",2,1,sorry to be a nuisance if you might feel this way. I like looking for advice and knowing more even tho of course it's not financial advice. Thank u very much.
Good works speak for itself @Mia Olivia,OBt███’s,7396054854677152517,"""2024-07-26T21:11:50.000Z""",0,0,Good works speak for itself @Mia Olivia
what a great personality on believing in her hands and it paid off @Coach Susan,Vic███ia3███,7396038021855953669,"""2024-07-26T20:29:57.000Z""",0,0,what a great personality on believing in her hands and it paid off @Coach Susan
"Why have you put 45k as a lump sum in, better off doing £1000 per month for 3/4 years and you would be up probably 15-25% by now.",Jay███rdt███,7405690349690241825,"""2024-08-21T20:21:01.000Z""",0,5,"Why have you put 45k as a lump sum in, better off doing £1000 per month for 3/4 years and you would be up probably 15-25% by now."
Invesco vs Vanguard? Why did you choose Invesco out of interest?,Lan███Fen███l69███,7428968270076822305,"""2024-10-23T13:51:19.000Z""",1,2,Invesco vs Vanguard? Why did you choose Invesco out of interest?
Don’t try and catch a falling knife! Time in the market not timing the market. Regular weekly / monthly investing is the best way 👍🏻,Jack,7420889362030150433,"""2024-10-01T19:20:51.000Z""",2,2,Don’t try and catch a falling knife! Time in the market not timing the market. Regular weekly / monthly investing is the best way 👍🏻
"My understanding is that ‘uninvested cash’ earning T212 interest IS FSCS protected, just as is every stock position (eg. S&P500 shares), up to the value of £85,000 per account",non███ens███vie███,7421485568377258784,"""2024-10-03T09:54:44.000Z""",2,7,"My understanding is that ‘uninvested cash’ earning T212 interest IS FSCS protected, just as is every stock position (eg. S&P500 shares), up to the value of £85,000 per account"
And here’s me getting pennies on £300 lol 🙈,Ben███i B███y,7421240902784418592,"""2024-10-02T18:05:06.000Z""",3,7,And here’s me getting pennies on £300 lol 🙈
is this not haram money?,777,7422069198845215521,"""2024-10-04T23:39:47.000Z""",1,1,is this not haram money?
Boom 💥😊,Aar███Gen███,7397887649866548001,"""2024-07-31T19:42:26.000Z""",1,2,Boom 💥😊
"Yeah, ever since I have been trading with @PAULWHEELERFX my financial story has changed I remain grateful to him",Olg███uy,7397866466551104261,"""2024-07-31T18:20:22.000Z""",0,0,"Yeah, ever since I have been trading with @PAULWHEELERFX my financial story has changed I remain grateful to him"
🥰🥰🥰,Mam███ta6███,7437642342591480608,"""2024-11-15T22:51:08.000Z""",0,0,🥰🥰🥰
Believe in the Lord Jesus Christ and you will be saved,One███nau███,7437938945612743456,"""2024-11-16T18:02:01.000Z""",2,0,Believe in the Lord Jesus Christ and you will be saved
"I now have JISA’s for both my children thanks to you and would like to know how to invest to build wealth at 50, are there specific stocks I should look at? Thx",daw███rym███,7377319674642760481,"""2024-06-06T09:28:56.000Z""",2,1,"I now have JISA’s for both my children thanks to you and would like to know how to invest to build wealth at 50, are there specific stocks I should look at? Thx"
@user3771759400233,Rac███l M███n,7381169794131149600,"""2024-06-16T18:28:53.000Z""",0,1,@user3771759400233
ชอบไมโลมากกว่า โอวัลตินหวานปวดตับ😂,wha███hat███ me█████████,7333922976087458568,"""2024-02-10T10:46:56.000Z""",11,0,I like Milo more Ovaltine sweet liver pain 😂
โอวัลโลดีสุด,Fra███raz███15,7333913581589054209,"""2024-02-10T10:10:43.000Z""",2,0,Ovallog is the best.
คุกกี้ อิมพีเรียล vs อาร์เซนอลหน่อยครับ🥰🥰🥰,Nam███lke███,7333907296262259462,"""2024-02-10T09:46:15.000Z""",2,0,Imperial Cookies VS Arsenal 🥰🥰🥰
มันก็เหมือนกันแหละ,pun███4(ช███จริ███,7336875748575970066,"""2024-02-18T10:32:49.000Z""",1,1,It's the same
ชอบโอวัลตินหวานอร่อยดีไมโลมันเน้นกลมกล่อม แต่สําหรับผมมันมีกลิ่นแปลกเลยไม่กิน,KITAA,7333975480688116488,"""2024-02-10T14:10:44.000Z""",1,0,"I like Ovaltine. Sweet. Delicious. Milo. It emphasizes mellow. But for me, it smells strange, so I don't eat."
อยากให้ไมโลเอาหลอด4รูกลับมา😁😁😁,DON███B,7333931760164127506,"""2024-02-10T11:21:02.000Z""",1,0,Want Milo to bring 4 holes back 😁😁😁
อร่อยทั้งคู่ แต่โอวัลตินกินตอนยังไม่ได้กินข้าวจะปวดท้อง,นาย███,7333893384899937025,"""2024-02-10T08:52:30.000Z""",1,0,"Both delicious, but Ovaltine eats when not eating, will have a stomach ache."
