user_id,comment_text,date_created,num_likes,num_replies,source
pfbid02KoimeBaC6PUExLQLoXzAumQoJXzECTtKL3nQqsJsvwFEUZvepjg97HBK1FYTa8Dal,Nita Baca we need to get together. Love you and I've missed seeing you.,"""2022-02-25T03:44:13.000Z""",0,0,facebook
sna███gab███gc,i want them all 😍😍,2024-11-21T15:54:12.000Z,2,1,instagram
jam███ean███8,How have you managed to be in the red over this period? Markets went up so much ?,"""2024-08-12T17:07:26.000Z""",0,2,tiktok
afc███anc███,"2️⃣4️⃣ teams
6️⃣ available spots
📆 March 2025 - March 2026

The final path at #ACQ2027. Who will complete the #AsianCup2027 cast?","""2024-12-09T07:31:49.000Z""",1546,178,twitter
Ber███d24███,have u tried the invesco all world? it's cheaper so better value for money?,"""2024-10-10T11:24:37.000Z""",1,1,tiktok
joa███nge███eju██████,👏👏👏,2024-11-13T21:01:24.000Z,2,1,instagram
slb███ica███,"🚨 TEAM NEWS! 🚨

#AVSSLB • #LigaPortugalBetclic","""2024-12-15T17:05:07.000Z""",125,4,twitter
pfbid0zgh7G6ErVwz4VJogJUxDSgbFoSqzRsUoKWYuimZkQ3h7f6TkLRaG2AnJQKJkQxjol,"I recently signed up for internet with your company.  What I'm being billed is much higher than the price discussed.  My service is constantly interrupted.  I get constant, like every 10 to 15 minutes a message saying my internet is restored.  These interruptions are impacting my ability to preform my job online.  I would like to learn about cancelling my service as it is no better than the service you offered before and I'm paying 3 times the amount, experiencing the same interruptions.","""2023-05-05T20:48:53.000Z""",0,0,facebook
Met███ole███,"➡️ Fiat Uno passes flood and leaves Jeep Renegade behind

A Fiat Uno passed everything on a flooded street of Sorocaba, São Paulo, and left a Jeep Renegade behind

Read:","""2024-12-15T02:20:00.000Z""",109,16,twitter
PGA███R,"Locked in.
 
@AleTostiOK grabs another birdie to jump to T2 with one hole to play at PGA TOUR Q-School presented by Korn Ferry.
 
📺: GOLF Channel","""2024-12-15T19:44:57.000Z""",69,9,twitter
mit███hem███y,The nicest combo,2024-11-20T21:37:04.000Z,2,1,instagram
pfbid0KDKY6L6FFKpUF4UQ7YSdKjcmcUfdrhpMWvXURP4GS2pnMkpuS9NxTiFTjWMZ9FCsl,Corinne Rose,"""2024-01-11T23:08:28.000Z""",0,1,facebook
pfbid02YLx7jkMS7CXwW5fKtC6rCNT5sLBhRa9Lb97kfKnefRPJEPGVE8LAefPqnbe5QxC2l,Might have to enter my 1978 F600 next year!,"""2024-08-31T18:58:20.000Z""",0,1,facebook
TNT███rts███,"What a madness! 😳 City wins until 88 of the second half, but United went to seek a historic turn! Yeah, Guardiola ... 👀 #premierleague","""2024-12-15T18:30:56.000Z""",2528,70,twitter
aur███iei███2_,"How to get the health truck, for our city too? 😍",2024-11-14T20:32:04.000Z,1,3,instagram
ufc,"Here's what you can expect to watch on tonight's main card! 💥

[ #UFCTampa is LIVE on @ESPNPlus &amp; ESPN2 | 10pmET ]","""2024-12-15T00:11:45.000Z""",511,24,twitter
pfbid0MUovRaRzquQyfimaPjC1624T3EggvpAqhJfdqA5EneFdXUFfpMuhXWQEmKhTZj91l,"At&t is the worse company ever. My internet only works in half the house. I call you all, and after waiting 30 minutes the rep says ""disconnect the modem, ??"" I am like, wont that drop the call? Which of course it does, and she had promised they would call back if that happened , yeah right 😂. Now i cannot even reach their website to make a payment, which they had the nerve to raise by 5.00 of course. This is after they breeched our info and they can't even provide good internet in my house. Worst customer service ever !!!!!!! Luckily i have a choice and will switch to Spectrum, had nothing but issues with AT&T since i signed up.","""2023-03-26T20:11:37.000Z""",0,3,facebook
zev███cio███,"Oto level! The expansion, improvement of high school throughout the state is a #Conquistadasjaventudes since the conferences and guaranteed by the Piauiense State Youth Plan. #Statututodajuventude",2024-11-28T12:43:19.000Z,1,1,instagram
pfbid02mYx5J2RZrREwKWpmXcpF2kjygi9PouVvSX75vXv6k5hKKUhuyGHy4u5C1bCKkP2Hl,DONT SIGN UP FOR THE 36 MONTH CONTRACT.  YOU WILL LEARN AS I HAVE THAT IT IS THE BIGGEST MISTAKE OF YOUR LIFE,"""2023-06-13T19:27:16.000Z""",0,0,facebook
1094782481,Wow! 🤩 thank you Dr.’s for diving in!,"""2023-11-13T21:08:11.000Z""",0,0,facebook
𓆝���███𓆞,"Milo, the most delicious school 😔","""2024-02-11T00:50:23.000Z""",0,0,tiktok
mon███ajd███,Beautiful!,2021-09-02T09:23:19.000Z,1,1,instagram
Clu███ugg███,Come on you 𝐁𝐥𝐮𝐞𝐬! 💙🖤 👊 #CLUGNK,"""2024-12-15T11:15:00.000Z""",53,4,twitter
PGA███R,"Dream team 🏆

@KnappTime_LTD and Patty Tavatanakit win the @GTInvitational!","""2024-12-15T21:03:46.000Z""",306,6,twitter
Man███Wom███,"Our Grace, our matchwinner 🫶

#MUWomen","""2024-12-15T17:03:00.000Z""",987,9,twitter
pfbid025UJcMGmxR4nfWQmYJ4sUbqZq585EpxE6b2C4q2GSnPHCCtpviJ9VdfAw7kNDQ3Khl,Amber Hartley,"""2024-01-13T04:11:51.000Z""",0,0,facebook
Ryan,Are you still buying VWRP buddy,"""2024-09-16T19:29:38.000Z""",1,1,tiktok
tvg███o,The @fabioporchat Póbi 🤣🤣🤣 #Melhoresdoano #Domingão,"""2024-12-15T21:18:05.000Z""",196,5,twitter
zzz███jei███r,You know you’re tempted to press CFD and put it all in on a news event at a 1:20 leverage 😏😏,"""2024-10-31T19:15:19.000Z""",0,1,tiktok
flo███bex███oto█████████,Breathtaking indeed! That's a beautiful shot bro !,2024-08-02T15:34:54.000Z,1,1,instagram
LUO███NGZ███,"He is worthy of being a woman under the rule of the Communist Party of China, and he is both deserving and standing!
This is because you haven’t met a ruthless person. When you meet a ruthless person, you have gone from being enthusiastic citizen to becoming a beautiful and frozen person! The kind of lying in the morgue!
Who knows this bitch? Give him or her some information!","""2024-07-20T15:04:29.000Z""",2609,852,twitter
pfbid0jUiDjLzxzFK8M3zyaahzj8CmKs6nskVBjqs7bab5xNp7smgdccJB6VDkCeHvrrLrl,"2030:
Write me a letter...","""2024-01-12T00:22:12.000Z""",0,0,facebook
beg███byk███dia███,Stunning shade 😍,2024-11-20T08:57:56.000Z,2,1,instagram
pfbid0SFz5ywx13fiuXc2XM2T9J9sGcpNGfNBAtiSx4esb3wcR3syyQXyjTzuxhSqgAB26l,U people should keep on dreaming wai u think election is won on social media right as Asiedu Nkatia said election is won at the polling station,"""2024-11-28T14:27:20.000Z""",0,1,facebook
pet███rab███hni███,Wonderful portrait 👏👏👏,2024-09-09T19:55:32.000Z,1,1,instagram
Man███,"Behind enemy lines 📍

🧵 adidas LNY x #MUFC

#MCIMUN","""2024-12-15T15:40:28.000Z""",2609,126,twitter
ESP███asi███,"'I knew it would be a difficult season, but not so much'

Guardiola admits that she doesn't know how to make city react

▶ ️","""2024-12-15T20:57:32.000Z""",48,1,twitter
1558253528,You suck #period #customerserviceblows,"""2024-02-20T13:12:51.000Z""",0,1,facebook
pfbid02yhuFJFEnUcHAhUH8Em6FomtGmmxmsfLPfiWAkV3mLG3tqSYGGG7GmbbXVBpHmeujl,"A recently intercepted North Korean missile in Ukraine was found to contain newly produced electronics from XP Power (UK)

You are at best negligent and at worst complicit.","""2024-11-04T07:34:43.000Z""",0,0,facebook
Ars███lWF███,"Seven consecutive victories. We keep on moving - together ✊

@MastercardUK 🤝","""2024-12-15T19:43:00.000Z""",1904,12,twitter
bus███ss,"Former House Speaker Nancy Pelosi, 84, was injured Friday during an official engagement marking 80 years since the Battle of the Bulge.","""2024-12-15T23:42:30.000Z""",21,12,twitter
sal███afi███,Masterpiece 🔥,2024-07-03T04:47:58.000Z,1,1,instagram
100004164335053,Verizon.  Is telling me the replacement phone shipped out may not meet the requirements of a trade in on a Verizon phone,"""2024-02-07T02:19:53.000Z""",0,18,facebook
wel███t.s███io,👏👏👏 yes !,2021-05-26T09:00:29.000Z,1,1,instagram
pix███nov███nam███,I have no problem getting you in there,"""2024-12-11T09:33:39.000Z""",0,0,tiktok
pfbid02ibP6LsNjDsN7EW7wHwXGbsY9kXAnuYj8iWRCYQeYV56ivmCg61Ca4j5YcWHWEoTAl,I will NEVER USE YOUR PRODUCTS. For taking off NewsMax,"""2023-02-03T19:29:45.000Z""",0,0,facebook
the███let███,Absolutely!,2021-10-21T10:06:43.000Z,1,1,instagram
pfbid02MWLWsxTaa9vkSmmhaNuJYu8cnVqik3okHTXvQJ8BSZqYtHJxoqCjFgaiSGyTXb9wl,"Go with Boost Infinity $25 month or AT&T unlimited talk, text, data, with 2 Google 8 phones $120 month where Verizon is charging me $183","""2024-01-24T01:12:47.000Z""",0,0,facebook
tvg███o,The 5th season of #ThemaskedSingerbr is coming and @eliana is coming with everything together 🎭🎤 Come discover everything with meoo with this spoiler of the special Christmas edition ✨ #Fantástico,"""2024-12-16T02:41:13.000Z""",40,2,twitter
pfbid02qhRyfXzPxhPru4g1bfLcCZVGQ9XjEzzMoCPxiZbmvq9TtgvVENvRDfdVEjKF9cqml,Sully,"""2024-08-26T16:15:41.000Z""",0,0,facebook
NFL,The @Chiefs win the AFC West for the 9th straight season!,"""2024-12-09T04:24:40.000Z""",11156,220,twitter
ber███bor███,Can’t wait to join forces with @linkedinexpert & @jonferrara to share #Sales tips using content.,2018-07-12T00:05:32.000Z,3,0,instagram
zzz███jei███r,Halalified 🤣🤣🤣🤣,"""2024-10-03T13:01:47.000Z""",1,0,tiktok
S,81% 😳,"""2024-08-29T17:26:29.000Z""",1,2,tiktok
mor███kjk███,Looking good 🔥❤️❤️,2024-09-01T19:28:14.000Z,1,1,instagram
Jack,Whats a good ftse etf?,"""2024-09-28T19:37:43.000Z""",0,1,tiktok
ESP███asi███,"Lamine Yamal and Raphinha gave the perfect league to pack the Barcelona season!

👉 Watch Barcelona x Leganés, live, this Sunday (15), at 17h, by #DisneyPlus Premium! Access:","""2024-12-15T00:00:01.000Z""",28,3,twitter
pfbid0syo3f9zJjffzD8BwH81f3eY5M12UCQKNZvky4TcsGzaG7yyrdLAiqqJ1hadVCoyxl,"Small business owners beware of AT&T business. We have been an AT&T customer for over 20 years. When we went to renew they quoted us a price with our own equipment that we own and a price using their equipment that we would need to purchase. The monthly rate for using our own equipment was twice as much as purchasing theirs. We did not renew. Our next bill came and it was over $2000 FOR ONE MONTH. We have 5 lines and internet. Under contract our bill was under $300. When I called they left me on hold for over an hour. Then I spent the next hour haggling with customer service agent that spoke very little English and we had a bad connection!!!! We finally came to an agreement to extend for one year. This was two months ago and they have not adjusted the pricing on our bill. 
I hope other small business owners read this. I have spent the last two months trying to work with AT&T with no luck.","""2023-07-12T15:19:11.000Z""",0,0,facebook
hov███lor███97,There is no need for him to be happy Na there is no seat left in parliament na only plastic chair remain.,2024-12-12T13:03:30.000Z,4,4,instagram
sha███mut███r,What a sweetest picture,2024-09-09T09:55:46.000Z,1,1,instagram
ini███obi███,Petra is like out of a fairytale. I would love to visit it 😍,2024-07-09T05:42:41.000Z,2,1,instagram
Cha███ons███,"Sunday underway 👊

Watch @BenettonRugby v @BathRugby live on @PremSportsTV,","""2024-12-15T13:05:34.000Z""",11,1,twitter
slh███19_███,Wednesday,2024-10-11T18:24:58.000Z,1,1,instagram
pfbid0MbgyYLyoLDJizgXaw7UWnCjEJ5JtF6fLh69xdmGF4EDGQNSJA86ukLoqy6B4GW2Al,Bobbi Jean 😂,"""2024-01-11T22:16:00.000Z""",0,1,facebook
100064804083695,Keep up the good work!,"""2024-04-12T18:56:57.000Z""",0,0,facebook
Wob███,I bought 0.5 shares,"""2024-10-25T17:49:05.000Z""",2,2,tiktok
pac███fe-███,😳😳😳😳😳😳😳😳,"""2024-11-15T22:40:35.000Z""",0,0,tiktok
pfbid0279cNRrF9bNh7uYxAqzZHcigJKHxKyJuguL7C1V89r55CLBmYkpwoWAMVKjpWhMXPl,At&t is the Wifi provider for San Bernadino Library internet service. The Service has been down for a week now -,"""2023-05-16T00:51:55.000Z""",0,1,facebook
Lizzy,I got more than that for around 10k of Lloyds shares.,"""2024-06-27T10:18:13.000Z""",1,3,tiktok
pfbid036CTYeHCoLM4p5tD8HNk5RSEzv69WnxUdhVqHVcvJLnw598H28sJPpJs9VcVWdhZ1l,10+++++ 😂🤣,"""2024-07-03T15:41:57.000Z""",0,0,facebook
pfbid0t264hQqaETXApxDy6MQyowojwFg7fZS3Ux9oob4jWfUG4t6tuLGZhjr67E1a9oBXl,Rachel Elizabethpretty sure we’ve been doing this for like 15 years,"""2024-01-14T21:08:10.000Z""",0,1,facebook
pfbid0vcUGFikLSDrEUqzRWDkT4q9nBakUtxj9EXvBDFmGLyzs4W9VQEhoA1QwwqtpwmZCl,Shanice Jamison us! 😂,"""2024-01-14T04:06:21.000Z""",0,1,facebook
TNT███rts███,"Anything goes for the first place in the group! ⚔️🏆 Real Madrid and Chelsea will duel for the lead of the key! It's a game on Tuesday, live at @streammaxbr (","""2024-12-16T00:00:00.000Z""",33,2,twitter
Man███Wom███,"👏 @GabsGeorge on the attack!

#MUWomen","""2024-12-15T15:27:16.000Z""",627,3,twitter
ESP███asi███,"It's champion! 🏆 

See the penalty shootout that gave the title to Celtic of the Scottish League Cup against Rangers 

#Futebolnaespn","""2024-12-15T18:32:52.000Z""",25,0,twitter
oxf███shi███rid█████████mak██████,The best collection,2024-11-24T08:31:29.000Z,1,2,instagram
dea███unj███e,"I've made some ""So Good"" Spotify playlists!

🔗 3 Hours (20 total streams):","""2024-12-13T19:57:04.000Z""",124,2,twitter
ste███o_n███i,Wonderful photo 😍😍😍👏👏👏,2024-01-05T13:42:35.000Z,1,1,instagram
exp███e__███dan███,Welcome to Jordan 😍🔥❤️,2024-04-21T10:05:13.000Z,1,1,instagram
bus███ss,The appointments set up a potential conflict in the next administration — not least with Trump himself.,"""2024-12-16T04:37:06.000Z""",10,6,twitter
pfbid0xoovc2mYvAB6gkJgbGGCp8GrqPerVQMFVCnTqqp7yFwCKTaj9NRAKypojnDqBS8Sl,So deserving!!!!,"""2022-02-25T03:26:22.000Z""",0,0,facebook
ern███obe███lal██████,What such idyllic sites 👏👏👏👏.,2023-01-10T15:38:49.000Z,1,1,instagram
pfbid02y6By7ySUuCA2PBAmuBXJXJ3wjHTgtZjciKznvW8cYmkG8G4SLv4Mngq4pezg9Shul,Rourke Moran,"""2024-01-13T16:23:24.000Z""",0,0,facebook
CNN███sil███,BNDES lends R $ 1.1 billion for Embraer aircraft export,"""2024-12-15T22:19:34.000Z""",114,8,twitter
cha███ith███ong███,❤️,2024-11-26T06:09:42.000Z,1,1,instagram
moi███️,Where does the 1mill come from,"""2024-07-30T18:52:33.000Z""",0,0,tiktok
har███_91███sha██████,🙌🔥🙌🔥,2022-02-11T20:02:56.000Z,1,1,instagram
Mon███Lan███ina█████████,"Great vid here Jubair. I love holding my cash in Trading212. I do keep a reserve in my normal bank account though, just in the case of an emergency","""2024-07-02T21:03:52.000Z""",1,1,tiktok
kann,"Destroying someone's life? Omri Asnaheim @ssenomri is honestly answered

Tonight #meeting with Ronnie Kuben @ronikuban after the news here 11 and here Box","""2024-12-07T14:20:00.000Z""",15,3,twitter
Sco███gca███,Thank you that cleared things up,"""2024-07-23T20:15:36.000Z""",1,0,tiktok
raf███uiz███,Wonder,2024-11-24T19:18:45.000Z,1,1,instagram
tal███ORT███,Troy Deeney calls on Jack Grealish to quit Man City to save his career,"""2024-12-15T13:37:00.000Z""",50,13,twitter
pfbid028q8oGqDtdKgeyWDBPFeN3pUakRzRg5q5R3KWEskBwFfnfg6rX7te9PRuimPVk9HLl,HAPPY BIRTHDAY to all,"""2024-07-10T15:23:44.000Z""",0,0,facebook
zai███gh,Amazing work Tala,2023-08-19T15:39:54.000Z,1,1,instagram
Killy,"Ever thought about diversifying with a higher risk/reward etf like SMH, say at a 90/10% split?","""2024-08-15T18:07:31.000Z""",0,1,tiktok
Cha███uek███,"#Official War Elephant joins the Turkmenistan Group, Chinese Taipei, Sri Lanka Asian Cup 2027 Qualifier

#War elephants #Thai national team #asiancup2027","""2024-12-09T07:49:13.000Z""",118,3,twitter
Sme███ath███y,😁,"""2024-11-15T02:56:06.000Z""",1,1,tiktok
use███083███832███,I w/d my account today,"""2024-07-25T20:22:20.000Z""",1,0,tiktok
luc███ram███oba██████,🔥🔥🔥❤️🙌,2023-11-19T17:22:10.000Z,1,1,instagram
Mar███ane███,"I made $32,500 working from home all thanks to my broker @Levi","""2024-07-30T19:23:32.000Z""",0,0,tiktok
TNT███rts███,"Is the train with fate Santos? 👀 Zé Rafael, Palmeiras steering wheel, should be the new reinforcement of the fish for the next seasons. The player would arrive at Alvinegro on a 1 year loan. 

🗞️: @donricadinho","""2024-12-15T19:22:50.000Z""",390,9,twitter
Glo███ews███,"Actresses Fernanda Torres and Fernanda Montenegro are featured in a story from the New York Times. The newspaper talks about Oscar's chance of ""I'm Still Here"", the first original movie of Globoplay.

➡ Watch #globonews:","""2024-12-15T18:26:30.000Z""",208,23,twitter
61555115586726,{🐱👑😌🌼🗻Life is too short to waste it.😻https://souvanatong.vercel.app/,"""2024-01-09T00:51:40.000Z""",0,0,facebook
rac███lgu███rre██████,Beautiful bottle😍😍😍,2024-11-12T23:08:40.000Z,1,1,instagram
Fol███_To███spi███,jubair is a Muslim name,"""2024-10-03T14:31:27.000Z""",2,0,tiktok
lrr███hio███,A unique and incredible experience. You are beautiful. Enjoy the fullest Bella😍,2022-11-13T23:33:03.000Z,1,1,instagram
ram███ess███lsh██████,How much?,2024-07-13T01:19:22.000Z,2,1,instagram
pfbid0933HU9PVFct6k3ZQKaYq3o1cMVizS747EhEEckmtJUWmmHtYQMRGi3aCcsGTyjXnl,Travis Kyle Riya Taylor we really committed to snap being our only source of texting for like 6 years now😂,"""2024-01-18T14:48:15.000Z""",0,0,facebook
pfbid02mYx5J2RZrREwKWpmXcpF2kjygi9PouVvSX75vXv6k5hKKUhuyGHy4u5C1bCKkP2Hl,DONT SIGN UP FOR THE 36 MONTH CONTRACT.  YOU WILL LEARN AS I HAVE THAT IT IS THE BIGGEST MISTAKE OF YOUR LIFE,"""2023-06-13T19:26:48.000Z""",0,0,facebook
pfbid0DxQVJUsVF2JJyQH2NNimRzCmAjWaRBRsinw1zMQoDy3aC7xubt5CuuUQSDjS3qhCl,My personal choice is to text people on the second floor of our house so I don't have to yell from the kitchen or walk up stairs. Lol,"""2024-01-12T04:46:28.000Z""",0,0,facebook
tri███san███,Where you get 100 per day?,"""2024-11-15T12:52:25.000Z""",3,3,tiktok
tic███cau███,"With Professor Matheus Carvalho, really sensational 👏👏👏👏",2024-11-14T00:16:19.000Z,3,1,instagram
た。,"Other people: Milo
Others: Ovaltine
Hair: Viol 🥰🥰","""2024-02-10T10:44:02.000Z""",0,0,tiktok
nyp███,What is brain rot? The science behind what obsessive scrolling does to our brains,"""2024-12-15T19:31:24.000Z""",57,16,twitter
que███har███4,Cute!!,2024-11-29T22:14:27.000Z,1,2,instagram
Jul███nma███,@Gabriel Rodrigues is the reason for my successful withdrawal,"""2024-09-04T22:12:03.000Z""",1,1,tiktok
pfbid0HmzZ1hECuP7L8nT3SLmcFbquvYwnECemDn8db7KAG1JCR7XETNjJoMXs15o1f1Zbl,How about you use your social media to update customers about the HUGE outage you have! What is your plan for restoring service to the customers?,"""2024-02-22T15:33:37.000Z""",0,2,facebook
Hid███GEM███ec,StrongBuy #SAE #SimecAtlantisEnergy,"""2024-08-19T22:19:39.000Z""",0,0,tiktok
